BN,SCHOOL NAME,PROGRESS REPORT TYPE,2012-2013 PROGRESS REPORT GRADE,2011-2012 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
M862,Mott Hall II,EMS,C,A,A,A,A,A,C
M896,Lower Manhattan Community Middle School,EMS,A,B,B,C,A,B,A
M964,Central Park East II,EMS,A,C,A,B,A,C,B
Q002,P.S. 002 Alfred Zimberg,EMS,D,B,B,A,B,A,C
Q005,I.S. 5 - The Walter Crowley Intermediate School,EMS,B,A,B,A,A,A,B
Q008,J.H.S. 008 Richard S. Grossley,EMS,B,C,C,C,A,B,D
Q010,I.S. 010 Horace Greeley,EMS,B,B,A,B,A,B,A
Q011,P.S. 011 Kathryn Phelan,EMS,B,A,A,B,A,A,A
Q012,P.S. 012 James B. Colgate,EMS,B,A,B,A,A,A,B
Q013,P.S. 013 Clement C. Moore,EMS,B,A,A,B,A,A,A
Q014,P.S. 014 Fairview,EMS,B,B,B,A,A,A,A
Q015,P.S. 015 Jackie Robinson,EMS,C,C,B,C,A,A,A
Q016,P.S. Q016,EMS,B,A,B,B,A,A,B
Q017,P.S. 017 Henry David Thoreau,EMS,B,C,A,C,A,B,B
Q018,P.S. 018 Winchester,EMS,B,C,A,A,A,B,B
Q019,P.S. 019 Marino Jeantet,EMS,B,A,A,B,A,A,A
Q020,P.S. 020 John Bowne,EMS,B,B,B,B,A,B,A
Q021,P.S. 021 Edward Hart,EMS,B,B,A,B,A,A,A
Q022,P.S. 022 Thomas Jefferson,EMS,A,A,A,A,A,B,A
Q024,P.S. 024 Andrew Jackson,EMS,A,A,A,A,A,A,A
Q025,I.S. 025 Adrien Block,EMS,A,C,B,B,A,C,C
Q026,P.S. 026 Rufus King,EMS,A,B,A,A,A,B,A
Q029,P.S. 029 Queens,EMS,B,B,A,B,A,D,B
Q030,P.S. 030 Queens,EMS,None,None,None,D,B,C,D
Q031,P.S. 031 Bayside,EMS,B,B,B,A,A,A,A
Q032,P.S. 032 State Street,EMS,A,A,C,A,A,B,A
Q033,P.S. 033 Edward M. Funk,EMS,C,C,C,C,A,B,B
Q034,P.S. 034 John Harvard,EMS,B,B,A,B,A,A,B
Q035,P.S. 035 Nathaniel Woodhull,EMS,B,C,D,D,B,B,C
Q036,P.S. 036 Saint Albans School,EMS,C,C,B,D,B,A,C
Q037,Cynthia Jenkins School,EMS,C,D,B,C,A,C,B
Q038,P.S. 038 Rosedale,EMS,B,B,C,B,B,A,B
Q040,P.S. 040 Samuel Huntington,EMS,C,D,B,D,B,C,B
Q041,P.S. 041 Crocheron,EMS,A,A,A,A,A,A,B
Q042,P.S. 042 R. Vernam,EMS,C,C,C,C,A,D,B
Q043,P.S. 043,EMS,C,C,C,C,A,C,C
Q045,P.S. 045 Clarence Witherspoon,EMS,B,B,B,B,A,A,B
Q046,P.S. 046 Alley Pond,EMS,A,A,A,A,A,A,A
Q047,P.S. 047 Chris Galas,EMS,B,B,B,A,B,B,A
Q048,P.S. 048 William Wordsworth,EMS,B,C,D,C,A,B,C
Q049,P.S. 049 Dorothy Bonawit Kole,EMS,B,B,A,C,A,B,B
Q050,P.S. 050 Talfourd Lawn Elementary School,EMS,C,B,B,B,A,A,B
Q052,P.S. 052 Queens,EMS,B,C,B,A,A,A,B
Q053,M.S. 053 Brian Piccolo,EMS,B,C,F,C,A,B,C
Q054,P.S. 054 Hillside,EMS,D,B,C,C,B,A,C
Q055,P.S. 055 Maure,EMS,C,D,A,C,A,A,A
Q056,P.S. 056 Harry Eichler,EMS,B,C,B,B,A,B,B
Q058,P.S. 58 - School of Heroes,EMS,B,C,B,A,A,B,C
Q059,I.S. 059 Springfield Gardens,EMS,C,C,C,C,A,B,B
Q060,P.S. 060 Woodhaven,EMS,A,A,A,A,A,A,B
Q061,I.S. 061 Leonardo Da Vinci,EMS,C,B,B,B,A,B,B
Q062,P.S. 062 Chester Park,EMS,B,C,A,C,A,A,A
Q063,P.S. 063 Old South,EMS,A,B,B,A,A,A,B
Q064,P.S. 064 Joseph P. Addabbo,EMS,C,A,A,C,A,A,C
Q065,P.S. 65 - The Raymond York Elementary School,EMS,B,B,B,C,A,B,C
Q066,P.S. 066 Jacqueline Kennedy Onassis,EMS,A,A,A,A,A,A,B
Q067,J.H.S. 067 Louis Pasteur,EMS,B,B,A,B,A,B,A
Q068,P.S. 068 Cambridge,EMS,B,B,B,B,A,A,B
Q069,P.S. 069 Jackson Heights,EMS,A,A,A,A,A,B,B
Q070,P.S. 070 Queens,EMS,B,C,B,C,A,B,B
Q071,P.S. 071 Forest,EMS,B,D,C,C,A,B,C
Q072,Catherine & Count Basie Middle School 72,EMS,C,C,C,C,B,C,B
Q073,I.S. 73 - The Frank Sansivieri Intermediate School,EMS,B,B,B,A,A,B,B
Q074,J.H.S. 074 Nathaniel Hawthorne,EMS,B,B,A,A,A,B,A
Q076,P.S. 076 William Hallet,EMS,B,B,B,A,A,B,A
Q077,I.S. 077,EMS,B,B,B,B,A,A,B
Q078,P.S. 078,EMS,A,A,B,B,A,B,A
Q079,P.S. 079 Francis Lewis,EMS,C,C,A,C,A,B,B
Q080,P.S. 080 Thurgood Marshall Magnet,EMS,C,B,F,C,B,A,B
Q081,P.S. 81Q Jean Paul Richter,EMS,B,B,A,A,A,A,B
Q082,P.S. 082 Hammond,EMS,C,B,C,B,A,A,B
Q083,Central Queens Academy Charter School,EMS,None,None,None,None,None,None,None
Q084,P.S. 084 Steinway,EMS,C,C,B,C,A,B,C
Q085,P.S. 085 Judge Charles Vallone,EMS,A,C,C,C,A,A,C
Q086,P.S. Q086,EMS,B,C,C,B,A,B,A
Q087,P.S. 087 Middle Village,EMS,B,B,A,A,A,B,C
Q088,P.S. 088 Seneca,EMS,D,C,B,C,A,B,B
Q089,P.S. 089 Elmhurst,EMS,A,B,A,A,A,A,A
Q090,P.S. 090 Horace Mann,EMS,B,A,B,B,A,A,C
Q091,P.S. 091 Richard Arkwright,EMS,C,B,C,B,A,A,C
Q092,P.S. 092 Harry T. Stewart Sr.,EMS,B,A,B,A,A,A,C
Q093,I.S. 093 Ridgewood,EMS,B,B,C,B,A,B,A
Q094,P.S. 094 David D. Porter,EMS,C,B,B,B,A,B,A
Q095,P.S. 095 Eastwood,EMS,B,A,B,B,A,B,B
Q096,P.S. 096,EMS,C,B,C,B,A,B,B
Q097,P.S. 097 Forest Park,EMS,A,A,B,A,A,A,B
Q098,P.S. 098 The Douglaston School,EMS,B,B,B,B,B,A,B
Q099,P.S. 099 Kew Gardens,EMS,B,A,A,A,A,A,B
Q100,P.S. 100 Glen Morris,EMS,C,C,B,B,A,A,A
Q101,P.S. 101 School in the Gardens,EMS,B,C,C,B,A,B,A
Q102,P.S. 102 Bayview,EMS,A,B,A,A,A,A,B
Q104,P.S. 104 The Bays Water,EMS,B,B,B,C,A,C,C
Q105,P.S. 105 The Bay School,EMS,None,B,C,C,A,C,D
Q106,P.S. 106,EMS,None,B,A,B,A,C,C
Q107,P.S. 107 Thomas A Dooley,EMS,B,C,A,B,A,A,B
Q108,P.S. 108 Captain Vincent G. Fowler,EMS,B,B,A,A,A,A,A
Q109,Jean Nuzzi Intermediate School,EMS,C,B,C,C,B,C,B
Q111,P.S. 111 Jacob Blackwell,EMS,C,B,C,C,A,A,B
Q112,P.S. 112 Dutch Kills,EMS,A,A,C,B,A,A,D
Q113,P.S. 113 Isaac Chauncey,EMS,B,B,B,A,A,A,B
Q114,P.S. / M.S. 114 Belle Harbor,EMS,C,C,B,B,A,C,B
Q115,P.S. 115 Glen Oaks,EMS,A,B,C,B,A,A,B
Q116,PS/IS 116 William C. Hughley,EMS,D,B,C,C,A,B,B
Q117,P.S. 117 J. Keld / Briarwood School,EMS,C,B,C,B,A,A,A
Q118,P.S. 118 Lorraine Hansberry,EMS,C,C,C,C,A,A,B
Q119,I.S. 119 The Glendale,EMS,B,A,A,C,A,C,D
Q120,P.S. 120 Queens,EMS,B,B,C,A,A,A,A
Q121,P.S. 121 Queens,EMS,C,A,B,A,A,A,A
Q122,P.S. 122 Mamie Fay,EMS,A,A,A,A,A,B,B
Q123,P.S. 123,EMS,C,B,C,B,A,B,D
Q124,P.S. 124 Osmond A Church,EMS,C,A,B,C,A,B,C
Q125,I.S. 125 Thom J. McCann Woodside,EMS,A,A,A,B,A,A,B
Q126,Albert Shanker School for Visual and Performing Ar,EMS,C,A,B,C,A,B,C
Q127,P.S. 127 Aerospace Science Magne,EMS,C,C,B,B,A,C,B
Q128,P.S. 128 Juniper Valley,EMS,C,B,B,A,A,C,C
Q129,P.S. 129 Patricia Larkin,EMS,A,A,B,B,A,A,A
Q131,P.S. 131 Abigail Adams,EMS,B,B,A,B,B,A,A
Q132,P.S. 132 Ralph Bunche,EMS,B,D,C,C,A,A,A
Q133,P.S. 133 Queens,EMS,A,A,A,A,A,A,A
Q134,P.S. 134 Hollis,EMS,C,B,C,B,A,C,A
Q135,The Bellaire School,EMS,C,C,B,C,A,A,B
Q136,P.S. 136 Roy Wilkins,EMS,C,C,B,B,A,B,D
Q137,M.S. 137 America's School of Heroes,EMS,C,C,B,B,A,B,B
Q138,P.S. 138 Sunrise,EMS,C,D,C,C,A,C,B
Q139,P.S. 139 Rego Park,EMS,C,B,B,C,A,B,A
Q140,P.S. 140 Edward K Ellington,EMS,C,F,C,C,B,A,B
Q141,I.S. 141 The Steinway,EMS,A,A,A,A,A,A,A
Q143,P.S. 143 Louis Armstrong,EMS,C,C,C,C,A,A,A
Q144,P.S. 144 Col Jeromus Remsen,EMS,B,B,A,B,A,B,C
Q145,I.S. 145 Joseph Pulitzer,EMS,B,B,B,B,A,C,B
Q146,P.S. 146 Howard Beach,EMS,B,B,B,B,A,B,B
Q147,PS/MS 147 Ronald McNair,EMS,C,C,C,D,B,B,A
Q148,P.S. 148 Queens,EMS,C,B,D,B,A,B,B
Q149,P.S. 149 Christa Mcauliffe,EMS,C,A,A,B,A,A,B
Q150,P.S. 150 Queens,EMS,A,A,A,B,A,A,A
Q151,P.S. 151 Mary D. Carter,EMS,C,C,D,C,A,A,F
Q152,P.S. 152 Gwendolyn Alleyne,EMS,A,A,A,A,A,A,B
Q153,P.S. 153 Maspeth Elem,EMS,B,A,B,A,A,A,A
Q154,P.S. 154 Queens,EMS,B,C,B,C,A,B,B
Q155,P.S. 155,EMS,D,C,B,C,A,B,F
Q156,P.S. 156 Laurelton,EMS,C,D,C,C,B,B,B
Q157,J.H.S. 157 Stephen A. Halsey,EMS,B,A,B,A,A,B,B
Q158,M.S. 158 Marie Curie,EMS,B,B,B,B,A,A,A
Q159,P.S. 159,EMS,B,A,A,A,A,A,C
Q160,P.S. 160 Walter Francis Bishop,EMS,C,C,C,B,A,B,A
Q161,P.S. 161 Arthur Ashe School,EMS,A,B,A,A,A,A,A
Q162,P.S. 162 John Golden,EMS,A,B,B,B,A,A,A
Q163,P.S. 163 Flushing Heights,EMS,A,B,A,B,A,B,A
Q164,P.S. 164 Queens Valley,EMS,A,A,B,A,A,B,B
Q165,P.S. 165 Edith K. Bergtraum,EMS,B,B,B,B,A,A,A
Q166,P.S. 166 Henry Gradstein,EMS,B,A,B,B,A,A,D
Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,EMS,B,A,None,None,None,None,None
Q169,P.S. 169 Bay Terrace,EMS,B,C,B,C,A,B,C
Q170,Peninsula Preparatory Academy Charter School,EMS,A,B,C,C,C,C,F
Q171,P.S. 171 Peter G. Van Alst,EMS,C,C,B,C,A,B,C
Q172,Irwin Altman Middle School 172,EMS,C,B,A,B,A,B,A
Q173,P.S. 173 Fresh Meadows,EMS,A,B,A,A,A,A,C
Q174,P.S. 174 William Sidney Mount,EMS,C,B,C,B,A,B,C
Q175,P.S. 175 The Lynn Gross Discovery School,EMS,C,B,B,A,A,A,A
Q176,P.S. 176 Cambria Heights,EMS,C,C,B,C,A,A,A
Q178,P.S./ IS 178 Holliswood,EMS,C,C,A,B,A,B,A
Q181,P.S. 181 Brookfield,EMS,B,C,D,C,A,A,B
Q182,P.S. 182 Samantha Smith,EMS,C,None,None,None,None,None,None
Q183,P.S. 183 Dr. Richard R. Green,EMS,B,C,A,B,A,C,C
Q184,P.S. 184 Flushing Manor,EMS,B,B,A,A,A,B,A
Q185,J.H.S. 185 Edward Bleeker,EMS,B,B,B,A,A,B,B
Q186,P.S. 186 Castlewood,EMS,A,A,A,B,A,A,C
Q188,P.S. 188 Kingsbury,EMS,A,A,A,A,A,A,B
Q189,J.H.S. 189 Daniel Carter Beard,EMS,A,B,C,B,A,B,B
Q190,J.H.S. 190 Russell Sage,EMS,B,B,B,C,B,A,C
Q191,P.S. 191 Mayflower,EMS,B,A,A,A,A,A,A
Q192,I.S. 192 The Linden,EMS,B,A,C,B,A,B,B
Q193,P.S. 193 Alfred J. Kennedy,EMS,B,C,B,C,A,C,B
Q194,J.H.S. 194 William Carr,EMS,C,C,B,A,A,B,A
Q195,P.S. 195 William Haberle,EMS,C,C,A,D,B,B,B
Q196,P.S. 196 Grand Central Parkway,EMS,A,A,A,A,A,A,A
Q197,P.S. 197 The Ocean School,EMS,None,D,C,A,A,B,B
Q199,P.S. 199 Maurice A. Fitzgerald,EMS,A,A,A,B,A,C,A
Q200,PS/MS 200 - The Pomonok School & STAR Academy,EMS,B,B,A,B,A,C,B
Q201,P.S. 201 The Discovery School for Inquiry and Rese,EMS,C,B,B,A,A,A,B
Q202,J.H.S. 202 Robert H. Goddard,EMS,C,B,B,B,A,B,B
Q203,P.S. 203 Oakland Gardens,EMS,A,A,A,A,A,A,B
Q204,I.S. 204 Oliver W. Holmes,EMS,B,B,C,A,A,B,B
Q205,P.S. 205 Alexander Graham Bell,EMS,A,A,A,A,A,B,A
Q206,P.S. 206 The Horace Harding School,EMS,B,D,B,C,A,B,C
Q207,P.S. 207 Rockwood Park,EMS,B,C,C,A,A,B,B
Q208,P.S. / I.S. 208,EMS,C,B,B,B,A,B,A
Q209,P.S. 209 Clearview Gardens,EMS,A,A,A,A,A,B,A
Q210,J.H.S. 210 Elizabeth Blackwell,EMS,C,C,C,C,A,B,C
Q212,P.S. 212,EMS,B,A,A,B,A,B,A
Q213,P.S. 213 The Carl Ullman School,EMS,A,A,A,A,A,A,A
Q214,P.S. 214 Cadwallader Colden,EMS,A,B,A,A,A,A,A
Q215,P.S. 215 Lucretia Mott,EMS,None,None,F,D,C,A,B
Q216,J.H.S. 216 George J. Ryan,EMS,A,B,B,A,A,A,B
Q217,J.H.S. 217 Robert A. Van Wyck,EMS,B,B,A,B,B,B,B
Q219,P.S. 219 Paul Klapper,EMS,B,A,A,A,A,A,B
Q220,P.S. 220 Edward Mandel,EMS,B,C,C,A,A,B,C
Q221,P.S. 221 North Hills,EMS,A,A,B,A,A,A,A
Q223,P.S. 223 Lyndon B. Johnson,EMS,B,C,D,B,A,A,C
Q225,P.S. 225 Seaside,EMS,None,None,None,None,None,D,D
Q226,J.H.S. 226 Virgil I. Grissom,EMS,D,C,C,C,B,C,D
Q227,I.S. 227 Louis Armstrong,EMS,A,B,A,A,A,A,A
Q229,P.S. 229 Emanuel Kaplan,EMS,A,B,A,A,A,A,B
Q230,I.S. 230,EMS,A,B,B,A,A,B,B
Q231,I.S. 231 Magnetech 2000,EMS,None,None,None,D,C,D,C
Q232,P.S. 232 Lindenwood,EMS,A,B,B,A,A,B,B
Q234,P.S. 234,EMS,D,C,C,A,A,B,B
Q235,Academy for New Americans,EMS,A,A,A,A,A,A,None
Q237,I.S. 237,EMS,A,A,B,A,A,B,B
Q238,I.S. 238 Susan B Anthony,EMS,C,C,B,C,A,C,B
Q239,P.S. 239,EMS,C,B,C,B,A,B,B
Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,EMS,B,A,C,C,A,C,A
Q252,"Queens School of Inquiry, The",EMS,B,C,C,A,A,B,B
Q253,P.S. 253,EMS,C,C,D,C,A,B,B
Q254,P.S. 254,EMS,A,A,A,A,A,A,C
Q259,Pathways College Preparatory School: A College Boa,EMS,D,C,C,C,A,B,B
Q262,Channel View School for Research,EMS,None,B,C,B,A,C,C
Q266,P.S. / I.S. 266,EMS,B,B,A,B,A,A,A
Q268,PS/IS 268,EMS,C,C,D,B,A,C,B
Q270,The Gordon Parks School,EMS,D,B,C,C,A,B,A
Q281,East-West School of International Studies,EMS,A,B,B,A,A,B,None
Q282,Knowledge and Power Preparatory Academy VI,EMS,C,A,A,C,A,B,None
Q283,Preparatory Academy for Writers: A College Board S,EMS,B,B,A,C,A,F,None
Q284,York Early College Academy,EMS,B,C,C,B,A,A,None
Q285,World Journalism Preparatory: A College Board Scho,EMS,C,B,B,C,A,C,None
Q286,"Young Women's Leadership School, Astoria",EMS,B,C,B,A,A,A,None
Q294,BELL Academy,EMS,A,B,A,A,A,None,None
Q295,P.S./I.S. 295,EMS,B,C,A,B,A,None,None
Q304,VOICE Charter School of New York,EMS,A,B,None,None,None,None,None
Q306,New York City Academy for Discovery,EMS,B,C,None,None,None,None,None
Q307,Pioneer Academy,EMS,B,C,None,None,None,None,None
Q309,Academy of Medical Technology: A College Board Sch,EMS,C,C,B,D,None,None,None
Q310,Queens Collegiate: A College Board School,EMS,B,C,C,None,None,None,None
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,EMS,None,B,A,None,None,None,None
Q318,WATERSIDE SCHOOL FOR LEADERSHIP,EMS,A,C,B,None,None,None,None
Q319,VILLAGE ACADEMY,EMS,B,B,B,None,None,None,None
Q321,Growing Up Green Charter School,EMS,C,None,None,None,None,None,None
Q323,Scholars' Academy,EMS,A,A,A,A,A,B,B
Q327,EAGLE ACADEMY FOR YOUNG MEN III,EMS,C,C,None,None,None,None,None
Q333,Goldie Maple Academy,EMS,C,C,A,C,A,A,None
Q341,Riverton Street Charter School,EMS,A,A,None,None,None,None,None
Q355,Collaborative Arts Middle School,EMS,C,None,None,None,None,None,None
Q356,Community Voices Middle School,EMS,F,None,None,None,None,None,None
Q499,"The Queens College School for Math, Science and Te",EMS,A,B,A,A,A,C,A
Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",EMS,B,C,B,A,B,A,B
Q580,Baccalaureate School for Global Education,EMS,A,B,B,B,B,B,C
Q680,Queens Gateway to Health Sciences Secondary School,EMS,B,B,C,B,B,B,B
Q704,Merrick Academy Charter School,EMS,C,B,F,C,A,A,None
Q705,"Renaissance Charter School, The",EMS,C,B,C,B,A,A,C
Q706,Our World Neighborhood Charter,EMS,C,C,B,C,A,B,None
Q877,51 Avenue Academy (The Path To Academic Excellence,EMS,B,A,A,A,A,A,C
Q896,"Young Women's Leadership School, Queens",EMS,C,C,C,C,A,C,A
R001,P.S. 001 Tottenville,EMS,B,B,B,B,A,A,C
R002,I.S. R002 George L. Egbert,EMS,C,C,C,C,B,D,C
R003,P.S. 003 The Margaret Gioiosa School,EMS,C,C,C,C,B,B,B
R004,P.S. 004 Maurice Wollin,EMS,B,B,C,C,A,C,C
R005,P.S. 005 Huguenot,EMS,C,C,C,C,A,C,C
R006,P.S. 6 Corporal Allan F. Kivlehan School,EMS,F,C,C,C,A,A,B
R007,I.S. 007 Elias Bernstein,EMS,B,A,B,B,A,A,B
R008,P.S. 8 Shirlee Solomon,EMS,A,A,A,A,A,A,D
R011,P.S. 11 Thomas Dongan School,EMS,A,D,C,B,A,B,F
R013,P.S. 013 M. L. Lindemeyer,EMS,B,A,B,C,A,B,B
R014,P.S. 014 Cornelius Vanderbilt,EMS,None,None,D,C,A,C,D
R016,P.S. 016 John J. Driscoll,EMS,C,C,C,C,A,C,C
R018,P.S. 018 John G. Whittier,EMS,C,B,C,B,A,A,B
R019,P.S. 019 The Curtis School,EMS,B,B,A,B,A,A,B
R020,P.S. 020 Port Richmond,EMS,C,B,C,C,A,A,B
R021,P.S. 21 Margaret Emery-Elm Park,EMS,B,B,C,A,A,B,B
R022,P.S. 022 Graniteville,EMS,C,C,C,B,A,B,B
R023,P.S. 023 Richmondtown,EMS,B,B,A,B,A,A,C
R024,I.S. 024 Myra S. Barnes,EMS,C,C,B,C,A,B,C
R026,P.S. 026 The Carteret School,EMS,A,C,B,C,A,B,C
R027,I.S. 027 Anning S. Prall,EMS,C,C,C,C,A,C,C
R029,P.S. 029 Bardwell,EMS,C,B,B,C,A,A,A
R030,P.S. 030 Westerleigh,EMS,C,C,B,C,B,C,C
R031,P.S. 031 William T. Davis,EMS,B,C,B,B,A,A,D
R032,P.S. 032 The Gifford School,EMS,C,C,B,B,B,C,B
R034,I.S. 034 Tottenville,EMS,B,A,C,A,A,B,D
R035,P.S. 35 The Clove Valley School,EMS,B,A,C,C,B,C,F
R036,P.S. 036 J. C. Drumgoole,EMS,C,C,B,C,B,C,F
R038,P.S. 038 George Cromwell,EMS,B,B,C,B,A,B,C
R039,P.S. 39 Francis J. Murphy Jr.,EMS,B,D,C,C,A,B,B
R041,P.S. 041 New Dorp,EMS,C,C,C,C,A,B,D
R042,P.S. 042 Eltingville,EMS,C,C,B,C,A,A,C
R044,P.S. 044 Thomas C. Brown,EMS,B,B,C,C,A,B,D
R045,P.S. 045 John Tyler,EMS,D,C,B,C,A,C,C
R046,P.S. 046 Albert V. Maniscalco,EMS,C,C,B,D,B,B,F
R048,P.S. 048 William C. Wilcox,EMS,C,B,B,B,A,A,B
R049,I.S. 49 Berta A. Dreyfus,EMS,B,C,B,B,A,B,C
R050,P.S. 050 Frank Hankinson,EMS,B,C,B,B,A,A,F
R051,I.S. 051 Edwin Markham,EMS,B,C,B,B,B,B,C
R052,P.S. 052 John C. Thompson,EMS,C,C,D,C,A,F,C
R053,P.S. 053 Bay Terrace,EMS,B,B,B,B,A,B,C
R054,P.S. 054 Charles W. Leng,EMS,C,C,D,C,B,B,B
R055,P.S. 055 Henry M. Boehm,EMS,C,C,C,C,B,B,D
R056,P.S. 56 The Louis Desario School,EMS,C,C,C,C,A,C,C
R057,P.S. 057 Hubert H. Humphrey,EMS,B,C,C,A,A,B,B
R058,Space Shuttle Columbia School,EMS,B,B,B,C,A,A,B
R060,P.S. 060 Alice Austen,EMS,C,B,D,C,A,B,C
R061,I.S. 061 William A Morris,EMS,B,C,C,C,B,B,C
R063,Marsh Avenue School for Expeditionary Learning,EMS,B,A,B,B,None,None,None
R065,P.S. 65 The Academy of Innovative Learning,EMS,C,A,None,None,None,None,None
R067,John W. Lavelle Preparatory Charter School,EMS,B,B,A,None,None,None,None
R069,P.S. 069 Daniel D. Tompkins,EMS,C,C,C,C,A,B,C
R072,I.S. 072 Rocco Laurie,EMS,B,C,B,B,A,B,C
R073,New World Preparatory Charter School,EMS,A,C,None,None,None,None,None
R075,I.S. 075 Frank D. Paulo,EMS,B,B,B,B,B,B,B
R080,The Michael J. Petrides School,EMS,C,C,C,C,B,B,C
R861,Staten Island School of Civic Leadership,EMS,A,A,A,None,None,None,None
X001,P.S. 001 Courtlandt School,EMS,B,C,D,C,A,C,D
X002,P.S. 002 Morrisania,EMS,None,None,None,None,None,D,D
X003,P.S. 3 Raul Julia Micro Society,EMS,B,C,B,A,A,B,A
X004,P.S./M.S. 004 Crotona Park West,EMS,A,A,C,B,A,A,C
X005,P.S. 005 Port Morris,EMS,C,B,B,C,A,B,B
X006,P.S. 006 West Farms,EMS,C,C,C,C,A,B,B
X007,P.S. 007 Kingsbridge,EMS,A,A,A,C,A,C,A
X008,P.S. 008 Issac Varian,EMS,A,A,B,B,A,B,B
X009,P.S. 9 Ryer Avenue Elementary School,EMS,B,C,C,C,A,A,B
X011,P.S. 011 Highbridge,EMS,B,B,D,B,A,C,D
X014,P.S. X014 Senator John Calandra,EMS,B,A,D,C,A,B,D
X015,P.S. X015 Institute for Environmental Learning,EMS,B,B,A,A,A,A,A
X016,P.S. 016 Wakefield,EMS,C,C,B,C,A,A,D
X018,P.S. 018 John Peter Zenger,EMS,C,C,A,C,A,B,D
X019,P.S. 019 Judith K. Weiss,EMS,B,B,B,C,A,C,B
X020,P.S. 20 P.O.George J. Werdan III,EMS,C,A,C,B,A,B,C
X021,P.S. 021 Philip H. Sheridan,EMS,D,C,C,C,B,B,B
X022,J.H.S. 022 Jordan L. Mott,EMS,C,C,C,C,A,C,A
X023,P.S. 023 The New Children's School,EMS,B,None,None,None,None,None,None
X024,P.S. 024 Spuyten Duyvil,EMS,C,C,B,C,A,A,B
X025,P.S. 025 Bilingual School,EMS,B,A,B,A,A,D,C
X028,P.S. 028 Mount Hope,EMS,B,C,B,B,A,B,B
X029,P.S./M.S. 029 Melrose School,EMS,B,C,D,C,B,B,D
X030,P.S. 030 Wilton,EMS,B,B,A,A,A,C,C
X031,P.S./M.S. 031 The William Lloyd Garrison,EMS,B,C,C,C,A,C,C
X032,P.S. 032 Belmont,EMS,A,A,B,A,A,B,A
X033,P.S. 033 Timothy Dwight,EMS,C,C,C,A,A,B,D
X035,P.S. 035 Franz Siegel,EMS,A,B,B,C,A,B,C
X036,P.S. 036 Unionport,EMS,A,B,B,B,A,A,A
X037,P.S. X037 - Multiple Intelligence School,EMS,A,B,C,B,A,C,A
X041,P.S. 041 Gun Hill Road,EMS,A,C,A,A,A,A,C
X042,P.S. 042 Claremont,EMS,C,C,C,A,A,A,B
X043,P.S. 043 Jonas Bronck,EMS,B,A,A,A,A,A,C
X044,P.S. 044 David C. Farragut,EMS,B,D,C,B,A,B,D
X045,Thomas C. Giordano Middle School 45,EMS,C,D,C,C,A,D,B
X046,P.S. 046 Edgar Allan Poe,EMS,B,B,C,C,A,B,A
X047,P.S. 047 John Randolph,EMS,C,D,B,C,A,B,D
X048,P.S. 048 Joseph R. Drake,EMS,B,A,A,B,A,A,C
X049,P.S. 049 Willis Avenue,EMS,D,A,B,C,A,A,B
X050,P.S. 050 Clara Barton,EMS,None,F,C,D,B,B,F
X051,P.S. 051 Bronx New School,EMS,B,A,A,B,A,B,C
X053,P.S. 053 Basheer Quisim,EMS,B,A,B,C,A,C,B
X054,P.S. / I.S. 54,EMS,C,C,D,C,A,C,B
X055,P.S. 055 Benjamin Franklin,EMS,D,C,B,C,A,B,C
X056,P.S. 056 Norwood Heights,EMS,A,A,A,A,A,C,B
X057,P.S. 057 Crescent,EMS,C,C,C,B,A,B,C
X058,P.S. 058,EMS,C,C,D,C,C,B,B
X059,P.S. 059 The Community School of Technology,EMS,B,B,B,B,A,C,B
X061,P.S. 061 Francisco Oller,EMS,B,A,D,C,A,A,B
X062,P.S. 062 Inocensio Casanova,EMS,C,B,A,B,A,A,B
X063,P.S. 063 Author's Academy,EMS,B,A,C,B,A,A,B
X064,P.S. 064 Pura Belpre,EMS,None,D,D,C,A,C,D
X065,P.S. 065 Mother Hale Academy,EMS,B,B,B,C,B,D,C
X066,P.S. 066 School of Higher Expectations,EMS,B,A,B,B,A,B,D
X067,P.S. 067 Mohegan School,EMS,C,B,B,C,A,C,C
X068,P.S. 068 Bronx,EMS,C,C,B,B,A,A,C
X069,P.S. 069 The New Vision School,EMS,A,A,A,A,A,A,A
X070,P.S. 070 Max Schoenfeld,EMS,F,C,C,C,A,B,C
X071,P.S. 071 Rose E. Scala,EMS,B,B,C,C,A,B,B
X072,P.S. 072 Dr. William Dorney,EMS,C,B,C,C,A,B,B
X073,P.S. 073 Bronx,EMS,D,D,A,B,A,C,B
X075,P.S. 075,EMS,B,B,A,B,A,A,B
X076,P.S. 076 The Bennington School,EMS,D,C,B,A,A,A,A
X078,P.S. 078 Anne Hutchinson,EMS,B,C,B,C,A,C,D
X079,P.S. 079 Creston,EMS,None,None,None,None,None,None,F
X080,J.H.S. 080 The Mosholu Parkway,EMS,C,B,C,B,A,B,A
